Product Category No.,Brand,Model,Product Type,Product Configuration,Product Unit Mount,GEMS Class,Heating Capacity (kW),Cooling Capacity (kW),AEER,ACOP,GEMS HSPF Cold (com),GEMS HSPF Mixed (com),GEMS HSPF Cold (res),GEMS HSPF Mixed (res),GEMS TCSPF Cold (com),GEMS TCSPF Mixed (com),GEMS TCSPF Cold (res),GEMS TCSPF Mixed (res),Calculated HSPF Cold (com),Calculated HSPF Mixed (com),Calculated HSPF Cold (res),Calculated HSPF Mixed (res),Calculated TCSPF Cold (com),Calculated TCSPF Mixed (com),Calculated TCSPF Cold (res),Calculated TCSPF Mixed (res),Refrigerant Type (GWP),Status,Application Date,Effective From,Effective To
6B(i),Panasonic,U-125PZH3R5/S-1014PF3E,Ducted,Single split system,N/A,Class 11,13.50,12.10,3.527,3.417,4.311,4.873,3.797,4.324,6.881,6.308,5.030,4.867,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6F,Panasonic,U-125PZH3R5/S-1014PT3E,Non-Ducted,Single split system,Under Ceiling,Class 11,14.00,12.10,3.450,3.726,4.357,4.975,3.849,4.440,7.033,6.410,5.034,4.858,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,09/08/2023,,
6F,Panasonic,U-125PZH3R5/S-1014PU3E,Non-Ducted,Single split system,Casette,Class 11,14.00,12.50,3.749,4.540,4.725,5.325,4.280,4.883,7.375,6.724,5.390,5.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,08/08/2023,,
6B(i),Panasonic,U-125PZH3R5/S-125PE3R,Ducted,Single split system,N/A,Class 11,14.00,12.50,3.520,3.753,4.319,4.800,3.909,4.401,5.973,5.559,4.601,4.494,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6B(i),Panasonic,U-125PZH3R8/S-1014PF3E,Ducted,Single split system,N/A,Class 11,13.50,12.10,3.527,3.417,4.311,4.873,3.797,4.324,6.881,6.308,5.030,4.867,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6F,Panasonic,U-125PZH3R8/S-1014PT3E,Non-Ducted,Single split system,Under Ceiling,Class 11,14.00,12.10,3.450,3.726,4.357,4.975,3.849,4.440,7.033,6.410,5.034,4.858,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,09/08/2023,,
6F,Panasonic,U-125PZH3R8/S-1014PU3E,Non-Ducted,Single split system,Casette,Class 11,14.00,12.50,3.749,4.540,4.725,5.325,4.280,4.883,7.375,6.724,5.390,5.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,08/08/2023,,
6B(i),Panasonic,U-125PZH3R8/S-125PE3R,Ducted,Single split system,N/A,Class 11,14.00,12.50,3.520,3.753,4.319,4.800,3.909,4.401,5.973,5.559,4.601,4.494,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6B(i),Panasonic,U-140PZ3R5 / S-1014PF3E,Ducted,Single split system,N/A,Class 11,13.40,13.40,3.113,3.697,4.051,4.586,3.632,4.176,6.398,5.777,4.468,4.330,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,14/08/2023,,
6F,Panasonic,U-140PZ3R5 / S-1014PU3E,Non-Ducted,Single split system,Casette,Class 11,14.00,14.00,3.179,4.101,4.398,5.033,3.974,4.717,6.890,6.186,4.688,4.535,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,08/08/2023,,
6B(i),Panasonic,U-140PZ3R8 / S-1014PF3E,Ducted,Single split system,N/A,Class 11,13.40,13.40,3.113,3.697,4.051,4.586,3.632,4.176,6.398,5.777,4.468,4.330,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,14/08/2023,,
6F,Panasonic,U-140PZ3R8 / S-1014PU3E,Non-Ducted,Single split system,Casette,Class 11,14.00,14.00,3.179,4.101,4.398,5.033,3.974,4.717,6.890,6.186,4.688,4.535,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,08/08/2023,,
6B(i),Panasonic,U-140PZH3R5/S-1014PF3E,Ducted,Single split system,N/A,Class 11,15.50,13.40,3.341,3.399,4.089,4.584,3.657,4.153,6.250,5.749,4.721,4.554,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6F,Panasonic,U-140PZH3R5/S-1014PU3E,Non-Ducted,Single split system,Casette,Class 11,16.00,14.00,3.370,4.251,4.535,5.258,4.014,4.716,7.106,6.436,5.170,4.933,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,08/08/2023,,
6B(i),Panasonic,U-140PZH3R8/S-1014PF3E,Ducted,Single split system,N/A,Class 11,15.50,13.40,3.341,3.399,4.089,4.584,3.657,4.153,6.250,5.749,4.721,4.554,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6F,Panasonic,U-140PZH3R8/S-1014PU3E,Non-Ducted,Single split system,Casette,Class 11,16.00,14.00,3.370,4.251,4.535,5.258,4.014,4.716,7.106,6.436,5.170,4.933,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,08/08/2023,,
6E(i),Panasonic,U-60PZ3R5 / S-6071PU3E,Non-Ducted,Single split system,Casette,Class 9,6.00,6.00,3.757,4.389,5.064,5.970,4.450,5.444,6.750,6.285,5.230,5.043,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6E(ii),Panasonic,U-71PZ3R5 / S-6071PU3E,Non-Ducted,Single split system,Casette,Class 9,7.10,7.10,3.354,4.159,4.614,5.264,4.144,4.853,6.790,6.053,4.831,4.641,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6A,Panasonic,U-71PZH3R5 / S-6071PF3E,Ducted,Single split system,N/A,Class 10,7.50,6.80,3.655,4.450,4.561,5.085,4.132,4.674,6.768,6.252,4.829,4.753,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,14/08/2023,,
